ICAR_ID;ICAR_DATE_DEBUT;ICAR_DATE_FIN;ICAR_NOM_RUE;ICAR_NOM_RUE_CODELG;ICAR_NOM_RUE_ALT;ICAR_NOM_RUE_CODELGALT;ICAR_INS;ICAR_COMMUNE;ICAR_COMMUNE_CODELG;ICAR_COMMUNE_ALT;ICAR_COMMUNE_CODELGALT;ICAR_VALIDATION
7700107;01/01/1969;;Rue du Cimetière;FR;;;25005;Beauvechain;FR;;;N
7700108;01/01/1969;;Rue du Culot;FR;;;25005;Beauvechain;FR;;;N
7700109;01/01/1969;;Rue du Grand Brou;FR;;;25005;Beauvechain;FR;;;N
7700110;01/01/1969;;Rue du Grand Roya;FR;;;25005;Beauvechain;FR;;;N
7700111;01/01/1969;;Rue du Jeune Homme;FR;;;25005;Beauvechain;FR;;;N
7700112;01/01/1969;;Rue du Long Pré;FR;;;25005;Beauvechain;FR;;;O
7700113;01/01/1969;;Rue du Marothon;FR;;;25005;Beauvechain;FR;;;N
7700114;01/01/1969;;Rue du Monty;FR;;;25005;Beauvechain;FR;;;N
7700115;01/01/1969;;Rue du Moulin;FR;;;25005;Beauvechain;FR;;;N
7700116;01/01/1969;;Rue du Moulin à Eau;FR;;;25005;Beauvechain;FR;;;N
7700117;01/01/1969;;Rue du Petit Jean;FR;;;25005;Beauvechain;FR;;;N
7700118;01/01/1969;;Rue du Petit Paradis;FR;;;25005;Beauvechain;FR;;;N
7700119;01/01/1969;;Rue du Pré de Litrange;FR;;;25005;Beauvechain;FR;;;N
7700120;01/01/1969;;Rue du Prince;FR;;;25005;Beauvechain;FR;;;N
7700121;07/02/1994;;Rue du Rivage;FR;;;25005;Beauvechain;FR;;;O
7700122;01/01/1969;;Rue du Ry Saint-Martin;FR;;;25005;Beauvechain;FR;;;N
7700123;01/01/1969;;Rue du Stoquoy;FR;;;25005;Beauvechain;FR;;;N
7700124;25/03/1986;;Rue du Vallon;FR;;;25005;Beauvechain;FR;;;N
7700125;01/01/1969;;Rue du Vénérable;FR;;;25005;Beauvechain;FR;;;N
7700126;01/01/1969;;Rue du Village;FR;;;25005;Beauvechain;FR;;;N
7700127;01/01/1969;;Rue Duchêne;FR;;;25005;Beauvechain;FR;;;N
7700128;01/01/1969;;Rue Elie Degueldre;FR;;;25005;Beauvechain;FR;;;N
7700129;01/01/1969;;Rue Gabriel Marcelier;FR;;;25005;Beauvechain;FR;;;N
7700130;01/01/1969;;Rue Gauthier;FR;;;25005;Beauvechain;FR;;;O
7700131;01/01/1969;;Rue Hannières Decock;FR;;;25005;Beauvechain;FR;;;N
7700132;01/01/1969;;Rue Isaac;FR;;;25005;Beauvechain;FR;;;N
7700133;01/01/1969;;Rue Jules Coisman;FR;;;25005;Beauvechain;FR;;;N
7700134;01/01/1969;;Rue Leeman;FR;;;25005;Beauvechain;FR;;;N
7700135;01/01/1969;;Rue Les Claines;FR;;;25005;Beauvechain;FR;;;N
7700136;01/01/1969;;Rue Logis Militaire;FR;;;25005;Beauvechain;FR;;;N
7700137;01/01/1969;;Rue Longue;FR;;;25005;Beauvechain;FR;;;N
7700138;01/01/1969;;Rue Marcoen;FR;;;25005;Beauvechain;FR;;;O
7700139;01/01/1969;;Rue Max Vander Linden;FR;;;25005;Beauvechain;FR;;;N
7700140;01/01/1969;;Rue Neuve;FR;;;25005;Beauvechain;FR;;;N
7700141;01/01/1969;;Rue Poisman;FR;;;25005;Beauvechain;FR;;;N
7700142;01/01/1969;;Rue René Ménada;FR;;;25005;Beauvechain;FR;;;N
7700143;01/01/1969;;Rue Ryndyck;FR;;;25005;Beauvechain;FR;;;N
7700144;01/01/1969;;Rue Saint-Corneille;FR;;;25005;Beauvechain;FR;;;N
7700145;01/01/1969;;Rue Schayes;FR;;;25005;Beauvechain;FR;;;N
7700146;01/01/1969;;Rue Valise;FR;;;25005;Beauvechain;FR;;;N
7700147;01/01/1969;;Rue Wahenge;FR;;;25005;Beauvechain;FR;;;O
7700148;01/01/1969;;Ruelle Baillieux;FR;;;25005;Beauvechain;FR;;;N
7700149;01/01/1969;;Ruelle Brasseur;FR;;;25005;Beauvechain;FR;;;N
7700150;01/01/1969;;Ruelle Chapelle Saint-Cornélis;FR;;;25005;Beauvechain;FR;;;N
7700151;01/01/1969;;Ruelle Clausse;FR;;;25005;Beauvechain;FR;;;N
7700152;01/01/1969;;Ruelle Collin;FR;;;25005;Beauvechain;FR;;;N
7700153;01/01/1969;;Ruelle de Cayberg;FR;;;25005;Beauvechain;FR;;;N
7700154;01/01/1969;;Ruelle Devroue;FR;;;25005;Beauvechain;FR;;;N
7700155;01/01/1969;;Ruelle Lambert;FR;;;25005;Beauvechain;FR;;;N
7700156;01/01/1969;;Ruelle Massart;FR;;;25005;Beauvechain;FR;;;N
7700157;01/01/1969;;Ruelle Mottart;FR;;;25005;Beauvechain;FR;;;N
7700158;01/01/1969;;Ruelle Saint-Nicaise;FR;;;25005;Beauvechain;FR;;;N
7700159;01/01/1969;;Sentier de l'Eglise;FR;;;25005;Beauvechain;FR;;;O
7700160;01/01/1969;;Sentier de Louvain;FR;;;25005;Beauvechain;FR;;;N
7700161;01/01/1969;;Sentier de Mille;FR;;;25005;Beauvechain;FR;;;N
7700162;01/01/1969;;Sentier du Moulin à Eau;FR;;;25005;Beauvechain;FR;;;N
7700163;01/01/1969;;Vieux Chemin de Louvain;FR;;;25005;Beauvechain;FR;;;N
7700164;01/01/1969;;Vieux Chemin de Namur;FR;;;25005;Beauvechain;FR;;;N
7700165;01/01/1969;;Allée Saint-Martin;FR;;;25014;Braine-l'Alleud;FR;;;N
7700166;01/01/1969;;Avenue Abbesse de Remiremont;FR;;;25014;Braine-l'Alleud;FR;;;N
7700167;01/01/1969;;Avenue Albert 1er;FR;;;25014;Braine-l'Alleud;FR;;;N
7700168;01/01/1969;;Avenue Alphonse Allard;FR;;;25014;Braine-l'Alleud;FR;;;N
7700169;01/01/1969;;Avenue Ancienne Barrière;FR;;;25014;Braine-l'Alleud;FR;;;N
7700170;01/01/1969;;Avenue Béatrice Cusance;FR;;;25014;Braine-l'Alleud;FR;;;N
7700171;01/01/1969;;Avenue Bel Air;FR;;;25014;Braine-l'Alleud;FR;;;N
7700172;01/01/1969;;Avenue Blücher;FR;;;25014;Braine-l'Alleud;FR;;;N
7700173;01/01/1969;;Avenue Britannique;FR;;;25014;Braine-l'Alleud;FR;;;N
7700174;01/01/1969;;Avenue Chantecler;FR;;;25014;Braine-l'Alleud;FR;;;N
7700175;01/01/1969;;Avenue Clair Soleil;FR;;;25014;Braine-l'Alleud;FR;;;N
7700176;01/01/1969;;Avenue Coquette;FR;;;25014;Braine-l'Alleud;FR;;;N
7700177;01/01/1969;;Avenue d'Autriche;FR;;;25014;Braine-l'Alleud;FR;;;N
7700178;01/01/1969;;Avenue de Basingstoke;FR;;;25014;Braine-l'Alleud;FR;;;N
7700179;01/01/1969;;Avenue de Cantecroy;FR;;;25014;Braine-l'Alleud;FR;;;N
7700180;01/01/1969;;Avenue de Drummondville;FR;;;25014;Braine-l'Alleud;FR;;;N
7700181;01/01/1969;;Avenue de Finlande;FR;;;25014;Braine-l'Alleud;FR;;;N
7700182;01/01/1969;;Avenue de Guéménée;FR;;;25014;Braine-l'Alleud;FR;;;N
7700183;01/01/1969;;Avenue de Jéricho;FR;;;25014;Braine-l'Alleud;FR;;;N
7700184;08/09/1988;;Avenue de la Belle Province;FR;;;25014;Braine-l'Alleud;FR;;;N
7700185;01/01/1969;;Avenue de la Bonne Fosse;FR;;;25014;Braine-l'Alleud;FR;;;N
7700186;01/01/1969;;Avenue de la Brise;FR;;;25014;Braine-l'Alleud;FR;;;N
7700187;01/01/1969;;Avenue de la Chevauchée;FR;;;25014;Braine-l'Alleud;FR;;;N
7700188;01/01/1969;;Avenue de la Corniche;FR;;;25014;Braine-l'Alleud;FR;;;N
7700189;01/01/1969;;Avenue de la Crinière;FR;;;25014;Braine-l'Alleud;FR;;;N
7700190;01/01/1969;;Avenue de la Croix Poncin;FR;;;25014;Braine-l'Alleud;FR;;;N
7700191;01/01/1969;;Avenue de la Croix-Rouge;FR;;;25014;Braine-l'Alleud;FR;;;N
7700192;01/01/1969;;Avenue de la Ferme;FR;;;25014;Braine-l'Alleud;FR;;;N
7700193;28/08/1978;;Avenue de la Fidélité;FR;;;25014;Braine-l'Alleud;FR;;;N
7700194;01/01/1969;;Avenue de la Flohaye;FR;;;25014;Braine-l'Alleud;FR;;;N
7700195;01/01/1969;;Avenue de la Grande Armée;FR;;;25014;Braine-l'Alleud;FR;;;N
7700196;01/01/1969;;Avenue de la Grande Boucle;FR;;;25014;Braine-l'Alleud;FR;;;N
7700197;01/01/1969;;Avenue de la Liberté;FR;;;25014;Braine-l'Alleud;FR;;;N
7700198;01/01/1969;;Avenue de la Manette;FR;;;25014;Braine-l'Alleud;FR;;;N
7700199;01/01/1969;;Avenue de la Métairie;FR;;;25014;Braine-l'Alleud;FR;;;N
7700200;01/01/1969;;Avenue de la Paix;FR;;;25014;Braine-l'Alleud;FR;;;N
7700201;01/01/1969;;Avenue de la Tendraie;FR;;;25014;Braine-l'Alleud;FR;;;N
7700202;01/01/1969;;Avenue de la Turquoise;FR;;;25014;Braine-l'Alleud;FR;;;N
7700203;01/01/1969;;Avenue de l'Aiglon;FR;;;25014;Braine-l'Alleud;FR;;;N
7700204;01/01/1969;;Avenue de l'Alleu;FR;;;25014;Braine-l'Alleud;FR;;;N
7700205;01/01/1969;;Avenue de l'Armistice;FR;;;25014;Braine-l'Alleud;FR;;;N
7700206;01/01/1969;;Avenue de l'Artisanat;FR;;;25014;Braine-l'Alleud;FR;;;N
7700207;01/01/1969;;Avenue de L'Avenir;FR;;;25014;Braine-l'Alleud;FR;;;N
7700208;01/01/1969;;Avenue de l'Egalité;FR;;;25014;Braine-l'Alleud;FR;;;N
7700209;01/01/1969;;Avenue de l'Empereur;FR;;;25014;Braine-l'Alleud;FR;;;N
7700210;01/01/1969;;Avenue de l'Ermitage;FR;;;25014;Braine-l'Alleud;FR;;;N
7700211;01/01/1969;;Avenue de l'Estrée;FR;;;25014;Braine-l'Alleud;FR;;;N
7700212;01/01/1969;;Avenue de l'Industrie;FR;;;25014;Braine-l'Alleud;FR;;;N
7700213;01/01/1969;;Avenue de l'Orée;FR;;;25014;Braine-l'Alleud;FR;;;N
7700214;01/01/1969;;Avenue de Marsan;FR;;;25014;Braine-l'Alleud;FR;;;N
7700215;01/01/1969;;Avenue de Menden;FR;;;25014;Braine-l'Alleud;FR;;;N
7700216;01/01/1969;;Avenue de Norvège;FR;;;25014;Braine-l'Alleud;FR;;;N
7700217;01/01/1969;;Avenue de Pays-Bas;FR;;;25014;Braine-l'Alleud;FR;;;N
7700218;01/01/1969;;Avenue de Rohan;FR;;;25014;Braine-l'Alleud;FR;;;N
7700219;01/01/1969;;Avenue de Soubise;FR;;;25014;Braine-l'Alleud;FR;;;N
7700220;01/01/1969;;Avenue de Suède;FR;;;25014;Braine-l'Alleud;FR;;;N
7700221;01/01/1969;;Avenue de Tchéquie;FR;;;25014;Braine-l'Alleud;FR;;;N
7700222;01/01/1969;;Avenue de Tenbroeck;FR;;;25014;Braine-l'Alleud;FR;;;N
7700223;01/01/1969;;Avenue de Vaudémont;FR;;;25014;Braine-l'Alleud;FR;;;N
7700224;01/01/1969;;Avenue Déesse Pomone;FR;;;25014;Braine-l'Alleud;FR;;;N
7700225;01/01/1969;;Avenue d'Epinoy;FR;;;25014;Braine-l'Alleud;FR;;;N
7700226;01/01/1969;;Avenue des Alouettes;FR;;;25014;Braine-l'Alleud;FR;;;N
7700227;01/01/1969;;Avenue des Aunelles;FR;;;25014;Braine-l'Alleud;FR;;;N
7700228;01/01/1969;;Avenue des Avocettes;FR;;;25014;Braine-l'Alleud;FR;;;N
7700229;01/01/1969;;Avenue des Bergeronnettes;FR;;;25014;Braine-l'Alleud;FR;;;N
7700230;01/01/1969;;Avenue des Bouleaux;FR;;;25014;Braine-l'Alleud;FR;;;N
7700231;01/01/1969;;Avenue des Cerisiers;FR;;;25014;Braine-l'Alleud;FR;;;N
7700232;01/01/1969;;Avenue des Champs;FR;;;25014;Braine-l'Alleud;FR;;;N
7700233;01/01/1969;;Avenue des Champs Clairs;FR;;;25014;Braine-l'Alleud;FR;;;N
7700234;01/01/1969;;Avenue des Coquelicots;FR;;;25014;Braine-l'Alleud;FR;;;N
7700235;01/01/1969;;Avenue des Cyclamens;FR;;;25014;Braine-l'Alleud;FR;;;N
7700236;01/01/1969;;Avenue des Deux Sapins;FR;;;25014;Braine-l'Alleud;FR;;;N
7700237;01/01/1969;;Avenue des Erables;FR;;;25014;Braine-l'Alleud;FR;;;N
7700238;01/01/1969;;Avenue des Etangs;FR;;;25014;Braine-l'Alleud;FR;;;N
7700239;01/01/1969;;Avenue des Géraniums;FR;;;25014;Braine-l'Alleud;FR;;;N
7700240;01/01/1969;;Avenue des Grives;FR;;;25014;Braine-l'Alleud;FR;;;N
7700241;01/01/1969;;Avenue des Hêtres;FR;;;25014;Braine-l'Alleud;FR;;;N
7700242;01/01/1969;;Avenue des Mésanges;FR;;;25014;Braine-l'Alleud;FR;;;N
7700243;01/01/1969;;Avenue des Moines;FR;;;25014;Braine-l'Alleud;FR;;;N
7700244;01/01/1969;;Avenue des Muguets;FR;;;25014;Braine-l'Alleud;FR;;;N
7700245;01/01/1969;;Avenue des Octrois;FR;;;25014;Braine-l'Alleud;FR;;;N
7700246;01/01/1969;;Avenue des Pétunias;FR;;;25014;Braine-l'Alleud;FR;;;N
7700247;01/01/1969;;Avenue des Pinsons;FR;;;25014;Braine-l'Alleud;FR;;;N
7700248;01/01/1969;;Avenue des Quatre Bonniers;FR;;;25014;Braine-l'Alleud;FR;;;N
7700249;01/01/1969;;Avenue des Ramiers;FR;;;25014;Braine-l'Alleud;FR;;;N
7700250;01/01/1969;;Avenue des Roses;FR;;;25014;Braine-l'Alleud;FR;;;N
7700251;01/01/1969;;Avenue des Sorbiers;FR;;;25014;Braine-l'Alleud;FR;;;N
7700252;01/01/1969;;Avenue des Sources;FR;;;25014;Braine-l'Alleud;FR;;;N
7700253;01/01/1969;;Avenue des Tarins;FR;;;25014;Braine-l'Alleud;FR;;;N
7700254;01/01/1969;;Avenue des Tourterelles;FR;;;25014;Braine-l'Alleud;FR;;;N
7700255;01/01/1969;;Avenue des Trois Battues;FR;;;25014;Braine-l'Alleud;FR;;;N
7700256;28/08/1978;;Avenue des Vanneaux;FR;;;25014;Braine-l'Alleud;FR;;;N
7700257;01/01/1969;;Avenue des Vieux Belges;FR;;;25014;Braine-l'Alleud;FR;;;N
7700258;01/01/1969;;Avenue des Vingt Bonniers;FR;;;25014;Braine-l'Alleud;FR;;;N
7700259;01/01/1969;;Avenue des Warrois;FR;;;25014;Braine-l'Alleud;FR;;;N
7700260;01/01/1969;;Avenue d'Espagne;FR;;;25014;Braine-l'Alleud;FR;;;N
7700261;01/01/1969;;Avenue du Beau Site;FR;;;25014;Braine-l'Alleud;FR;;;N
7700262;01/01/1969;;Avenue du Bois Amory;FR;;;25014;Braine-l'Alleud;FR;;;N
7700263;01/01/1969;;Avenue du Bois des Collines;FR;;;25014;Braine-l'Alleud;FR;;;N
7700264;01/01/1969;;Avenue du Bouvreuil;FR;;;25014;Braine-l'Alleud;FR;;;N
7700265;01/01/1969;;Avenue du Cadre Noir;FR;;;25014;Braine-l'Alleud;FR;;;N
7700266;01/01/1969;;Avenue du Callois;FR;;;25014;Braine-l'Alleud;FR;;;N
7700267;01/01/1969;;Avenue du Castel;FR;;;25014;Braine-l'Alleud;FR;;;N
7700268;01/01/1969;;Avenue du Cent Douzième;FR;;;25014;Braine-l'Alleud;FR;;;N
7700269;01/01/1969;;Avenue du Champ de la Bloquerie;FR;;;25014;Braine-l'Alleud;FR;;;N
7700270;01/01/1969;;Avenue du Chemin Creux;FR;;;25014;Braine-l'Alleud;FR;;;N
7700271;01/01/1969;;Avenue du Commerce;FR;;;25014;Braine-l'Alleud;FR;;;N
7700272;01/01/1969;;Avenue du Dernier Carré;FR;;;25014;Braine-l'Alleud;FR;;;N
7700273;01/01/1969;;Avenue du Feuillage;FR;;;25014;Braine-l'Alleud;FR;;;N
7700274;01/01/1969;;Avenue du Fief;FR;;;25014;Braine-l'Alleud;FR;;;N
7700275;28/08/1978;;Avenue du Forgeron;FR;;;25014;Braine-l'Alleud;FR;;;N
7700276;01/01/1969;;Avenue du Japon;FR;;;25014;Braine-l'Alleud;FR;;;N
7700277;01/01/1969;;Avenue du Mont Marcure;FR;;;25014;Braine-l'Alleud;FR;;;N
7700278;01/01/1969;;Avenue du Pont des Diâp;FR;;;25014;Braine-l'Alleud;FR;;;N
7700279;01/01/1969;;Avenue du Portugal;FR;;;25014;Braine-l'Alleud;FR;;;N
7700280;01/01/1969;;Avenue du Pré Hérault;FR;;;25014;Braine-l'Alleud;FR;;;N
7700281;01/01/1969;;Avenue du Sabotier;FR;;;25014;Braine-l'Alleud;FR;;;N
7700282;01/01/1969;;Avenue du Saphir;FR;;;25014;Braine-l'Alleud;FR;;;N
7700283;01/01/1969;;Avenue du Tonnelier;FR;;;25014;Braine-l'Alleud;FR;;;N
7700284;01/01/1969;;Avenue du Triangle;FR;;;25014;Braine-l'Alleud;FR;;;N
7700285;01/01/1969;;Avenue du Verger;FR;;;25014;Braine-l'Alleud;FR;;;N
7700286;01/01/1969;;Avenue Garde Impériale;FR;;;25014;Braine-l'Alleud;FR;;;N
7700287;01/01/1969;;Avenue Général Kellerman;FR;;;25014;Braine-l'Alleud;FR;;;N
7700288;01/01/1969;;Avenue Général Milhaud;FR;;;25014;Braine-l'Alleud;FR;;;N
7700289;01/01/1969;;Avenue Général Ruquoy;FR;;;25014;Braine-l'Alleud;FR;;;N
7700290;01/01/1969;;Avenue Geneviève Brabant;FR;;;25014;Braine-l'Alleud;FR;;;N
7700291;01/01/1969;;Avenue Georges Rousseau;FR;;;25014;Braine-l'Alleud;FR;;;N
